image_name,height,numstories,roofshape,fpArea,latitude,longitude,roof_material,city,city_coordinates
height10.0_numstoriesNA_roofshapeNA_fpArea1331_imsat_-23.48057346-46.60851275.jpg,10.0,,,1331.0,-23.48057346,-46.60851275,AmorphousAsphalt,"São Paulo, Brazil","-23.5506507, -46.6333824"
height10.1_numstoriesNA_roofshapeNA_fpArea1785_imsat_18.38252623-66.01319157.jpg,10.1,,,1785.0,18.38252623,-66.01319157,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height10.1_numstoriesNA_roofshapeNA_fpArea2883_imsat_18.35952678-66.04674544.jpg,10.1,,,2883.0,18.35952678,-66.04674544,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height10.1_numstoriesNA_roofshapeNA_fpArea932_imsat_18.38235305-66.10296944.jpg,10.1,,,932.0,18.38235305,-66.10296944,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height10.8_numstoriesNA_roofshapeNA_fpArea2400_imsat_18.39577781-66.0663896.jpg,10.8,,,2400.0,18.39577781,-66.0663896,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height101.7_numstoriesNA_roofshapeNA_fpArea3773_imsat_38.75028777-9.19140599.jpg,101.7,,,3773.0,38.75028777,-9.19140599,AmorphousAsphalt,"Lisbon, Portugal","38.7077507, -9.1365919"
height11.2_numstoriesNA_roofshapeNA_fpArea2056_imsat_18.37364374-66.06027973.jpg,11.2,,,2056.0,18.37364374,-66.06027973,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height11.2_numstoriesNA_roofshapeNA_fpArea2182_imsat_34.28730577-118.41188736.jpg,11.2,,,2182.0,34.28730577,-118.41188736,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height11.5_numstoriesNA_roofshapeNA_fpArea2015_imsat_34.22286224-118.43070845.jpg,11.5,,,2015.0,34.22286224,-118.43070845,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height11.8_numstoriesNA_roofshapeNA_fpArea1754_imsat_18.4272925-66.10635877.jpg,11.8,,,1754.0,18.4272925,-66.10635877,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height11.8_numstoriesNA_roofshapeNA_fpArea1859_imsat_33.99572249-118.46670227.jpg,11.8,,,1859.0,33.99572249,-118.46670227,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height11.8_numstoriesNA_roofshapeNA_fpArea2236_imsat_34.13841822-118.19848754.jpg,11.8,,,2236.0,34.13841822,-118.19848754,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height12.1_numstoriesNA_roofshapeNA_fpArea1291_imsat_18.40015693-66.04581666.jpg,12.1,,,1291.0,18.40015693,-66.04581666,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height12.1_numstoriesNA_roofshapeNA_fpArea2413_imsat_18.40059461-66.08105549.jpg,12.1,,,2413.0,18.40059461,-66.08105549,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height12.8_numstoriesNA_roofshapeNA_fpArea1766_imsat_33.94209801-118.30548533.jpg,12.8,,,1766.0,33.94209801,-118.30548533,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height12.8_numstoriesNA_roofshapeNA_fpArea2483_imsat_18.37625098-66.06029473.jpg,12.8,,,2483.0,18.37625098,-66.06029473,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height13.1_numstoriesNA_roofshapeNA_fpArea305_imsat_38.73467349-9.2027064.jpg,13.1,,,305.0,38.73467349,-9.2027064,AmorphousAsphalt,"Lisbon, Portugal","38.7077507, -9.1365919"
height13.8_numstoriesNA_roofshapeNA_fpArea408_imsat_34.18631845-118.5320331.jpg,13.8,,,408.0,34.18631845,-118.5320331,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height13.8_numstoriesNA_roofshapeNA_fpArea850_imsat_33.99059484-118.42400723.jpg,13.8,,,850.0,33.99059484,-118.42400723,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height131.2_numstoriesNA_roofshapeNA_fpArea3895_imsat_35.6361949451.46723977.jpg,131.2,,,3895.0,35.63619494,51.46723977,AmorphousAsphalt,"Tehran, Iran","35.6892523, 51.3896004"
height14.1_numstoriesNA_roofshapeNA_fpArea4385_imsat_34.18410105-118.42755099.jpg,14.1,,,4385.0,34.18410105,-118.42755099,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height14.4_numstoriesNA_roofshapeNA_fpArea2743_imsat_34.31090582-118.4218067.jpg,14.4,,,2743.0,34.31090582,-118.4218067,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height14.4_numstoriesNA_roofshapeNA_fpArea720_imsat_34.04775208-118.2813184.jpg,14.4,,,720.0,34.04775208,-118.2813184,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height14.7_numstoriesNA_roofshapeNA_fpArea2517_imsat_-23.47551149-46.61550695.jpg,14.7,,,2517.0,-23.47551149,-46.61550695,AmorphousAsphalt,"São Paulo, Brazil","-23.5506507, -46.6333824"
height14.7_numstoriesNA_roofshapeNA_fpArea729_imsat_-23.55431068-46.48035239.jpg,14.7,,,729.0,-23.55431068,-46.48035239,AmorphousAsphalt,"São Paulo, Brazil","-23.5506507, -46.6333824"
height14.8_numstoriesNA_roofshapeNA_fpArea1136_imsat_33.97429637-118.37422127.jpg,14.8,,,1136.0,33.97429637,-118.37422127,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.1_numstoriesNA_roofshapeNA_fpArea1658_imsat_33.96707768-118.30717076.jpg,15.1,,,1658.0,33.96707768,-118.30717076,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.1_numstoriesNA_roofshapeNA_fpArea2583_imsat_34.00377232-118.45966599.jpg,15.1,,,2583.0,34.00377232,-118.45966599,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.1_numstoriesNA_roofshapeNA_fpArea4728_imsat_34.04502212-118.34879421.jpg,15.1,,,4728.0,34.04502212,-118.34879421,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.1_numstoriesNA_roofshapeNA_fpArea894_imsat_-23.48062-46.62622392.jpg,15.1,,,894.0,-23.48062,-46.62622392,AmorphousAsphalt,"São Paulo, Brazil","-23.5506507, -46.6333824"
height15.1_numstoriesNA_roofshapeNA_fpArea924_imsat_18.32802715-66.04718012.jpg,15.1,,,924.0,18.32802715,-66.04718012,AmorphousAsphalt,"San Juan, PR","18.384239049999998, -66.05343997364733"
height15.4_numstoriesNA_roofshapeNA_fpArea2509_imsat_34.22944647-118.44783173.jpg,15.4,,,2509.0,34.22944647,-118.44783173,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.7_numstoriesNA_roofshapeNA_fpArea1969_imsat_33.89629032-118.28801476.jpg,15.7,,,1969.0,33.89629032,-118.28801476,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.7_numstoriesNA_roofshapeNA_fpArea2039_imsat_34.18283602-118.56566481.jpg,15.7,,,2039.0,34.18283602,-118.56566481,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height15.7_numstoriesNA_roofshapeNA_fpArea2585_imsat_34.22650049-118.58443004.jpg,15.7,,,2585.0,34.22650049,-118.58443004,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height16.1_numstoriesNA_roofshapeNA_fpArea1276_imsat_33.96320778-118.26972669.jpg,16.1,,,1276.0,33.96320778,-118.26972669,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height16.4_numstoriesNA_roofshapeNA_fpArea1238_imsat_34.27687643-118.43670686.jpg,16.4,,,1238.0,34.27687643,-118.43670686,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height17.1_numstoriesNA_roofshapeNA_fpArea3474_imsat_34.15308841-118.49324947.jpg,17.1,,,3474.0,34.15308841,-118.49324947,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height17.2_numstoriesNA_roofshapeNA_fpArea717_imsat_-23.62311166-46.64427557.jpg,17.2,,,717.0,-23.62311166,-46.64427557,AmorphousAsphalt,"São Paulo, Brazil","-23.5506507, -46.6333824"
height17.4_numstoriesNA_roofshapeNA_fpArea13327_imsat_34.25641028-118.46680062.jpg,17.4,,,13327.0,34.25641028,-118.46680062,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height17.4_numstoriesNA_roofshapeNA_fpArea2365_imsat_34.15626761-118.42660244.jpg,17.4,,,2365.0,34.15626761,-118.42660244,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height17.7_numstoriesNA_roofshapeNA_fpArea1780_imsat_34.09481265-118.20643119.jpg,17.7,,,1780.0,34.09481265,-118.20643119,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height17.7_numstoriesNA_roofshapeNA_fpArea3212_imsat_34.19251566-118.64785825.jpg,17.7,,,3212.0,34.19251566,-118.64785825,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height18.0_numstoriesNA_roofshapeNA_fpArea1803_imsat_33.96005611-118.42553316.jpg,18.0,,,1803.0,33.96005611,-118.42553316,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height18.4_numstoriesNA_roofshapeNA_fpArea1969_imsat_34.1699968-118.35784073.jpg,18.4,,,1969.0,34.1699968,-118.35784073,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height18.4_numstoriesNA_roofshapeNA_fpArea2014_imsat_34.17421131-118.56132177.jpg,18.4,,,2014.0,34.17421131,-118.56132177,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height18.4_numstoriesNA_roofshapeNA_fpArea2267_imsat_34.21004359-118.42842664.jpg,18.4,,,2267.0,34.21004359,-118.42842664,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
height18.4_numstoriesNA_roofshapeNA_fpArea986_imsat_40.72626154-73.72551586.jpg,18.4,,,986.0,40.72626154,-73.72551586,AmorphousAsphalt,"New York, United States","40.7127281, -74.0060152"
height19.0_numstories3_roofshapeNA_fpArea2796_imsat_34.15111306-118.40851572.jpg,19.0,3.0,,2796.0,34.15111306,-118.40851572,AmorphousAsphalt,"Los Angeles, California","34.0536909, -118.242766"
